# File content must be in WINDOWS code page !
#
# Ограничение - 26 трасс
#
# формат:
#  - ID от 1 до 26 (при повторении ID трасса переопределяется)
#  - имя трассы в кавычках
#
# ID "имя трассы"

01 "Нижний Новгород - Йошкар-Ола"
02 "Хабаровск - Йошкар-Ола"
03 "Иркутск - Йошкар-Ола"
04 "Душанбе - Мурманск"
05 "Хабаровск - Мурманск"
06 "Йошкар-Ола - Мурманск"
07 "Душанбе - Киев"
08 "Магадан - Йошкар-Ола"
09 "Австралия - Йошкар-Ола"
10 "Хабаровск - Киев"
11 "Хабаровск - Нижний Новгород"
# далее дополнительные трассы, ID начиная с 12
12 "Йошкар-Ола - Нижний Новгород"
13 "Мурманск - Нижний Новгород"
14 "Иркутск - Нижний Новгород"
15 "Магадан - Нижний Новгород"
16 "Йошкар-Ола - Киев"
17 "Кипр (35N34E)- Йошкар-Ола"
18 "Svalbard (Шпицберген 78N14E) - Йошкар-Ола"
19 "Farnsborough (Великобритания 51N0E) - Йошкар-Ола"
20 "Inskip (Великобритания 54N3W) - Йошкар-Ола"
21 "Испания (40N3W) - Йошкар-Ола"
22 "Jan Mayen (Норвегия 71N9W) - Йошкар-Ола"
